,mde_0,mde_1,mde_2,mde_3,mde_4,mde_5,fde_0,fde_1,fde_2,fde_3,fde_4,fde_5
train,196.04953,195.7909,195.28448,197.2331,196.38812,197.56297,20.030792236328125,18.460094451904297,10.271109580993652,10.429547309875488,6.407910346984863,22.524028778076172
val,369.3127,368.91858,367.82007,370.6038,369.4167,371.6671,11.107925415039062,8.84025764465332,7.421716213226318,3.9202587604522705,8.432600021362305,9.469293594360352
